,product_id,product_name,brand,category,skin_type,concern,description,key_ingredients,how_to_use,pro_tip
0,CET-001,Gentle Skin Cleanser,Cetaphil,Cleanser,All Skin Types,Sensitive Skin,"A creamy, non-foaming daily cleanser that hydrates as it cleans. This classic formula is clinically proven to provide continuous hydration to protect against dryness while effectively removing dirt, makeup, and impurities without stripping the skin's natural moisture barrier.","Niacinamide (Vitamin B3), Panthenol (Vitamin B5), Glycerin",1. Apply a liberal amount to the skin. 2. For use with water: Rinse and pat dry with a soft towel. 3. For use without water: Remove excess with a soft cloth or cotton round.,"Great for morning cleansing when your face isn't heavily soiled, or for post-procedure skin that cannot tolerate water."
1,CET-002,Oily Skin Cleanser,Cetaphil,Cleanser,Oily to Combination,"Excess Oil, Low Lather","A gentle, gel-to-foam formula designed to deep clean pores and reduce excess oil without drying out the skin. It removes pore-clogging oils, dead skin, and makeup, leaving the skin feeling fresh and balanced.","Glycerin, Panthenol",1. Massage a small amount onto wet skin. 2. Create a light lather. 3. Rinse thoroughly with warm water.,Use this as the second step in a double cleanse if you wear heavy makeup.
2,CET-003,Gentle Exfoliating SA Cleanser,Cetaphil,Cleanser,"Rough, Bumpy, Sensitive","Texture, Clogged Pores","This cleanser uses Salicylic Acid to gently exfoliate dry, rough, and bumpy skin. It helps promote skin renewal and smoother texture without the harshness of physical scrubs.","Salicylic Acid, Mandelic Acid, Gluconolactone",1. Apply to wet skin and massage gently in circular motions. 2. Focus on rough areas. 3. Rinse well.,Start by using 2-3 times a week and build up to daily use to avoid over-exfoliation.
3,CET-004,Hydrating Foaming Cream Cleanser,Cetaphil,Cleanser,Normal to Dry,"Dehydration, Barrier Repair","A rich cream-to-foam cleanser that transforms from a creamy lather to a soft foam. It cleanses effectively without drying, maintaining the skin's natural pH and microbiome.","Aloe Vera, Glycerin, Vitamins B3 & B5",1. Wet face and dispense a pump into hands. 2. Rub hands to create foam. 3. Massage onto face. 4. Rinse.,Ideal for people who love the feeling of a foam wash but have dry skin that usually feels tight after washing.
4,CET-005,Pro Acne Prone Oil Control Foam Wash,Cetaphil,Cleanser,"Acne-Prone, Oily","Acne, Shine Control","A deep cleansing foam specifically formulated for acne-prone skin. It helps to wash away excess oil and impurities that clog pores, while soothing ingredients prevent irritation.","Zinc Coceth Sulfate, Glycerin","1. Pump foam into hands. 2. Massage onto wet face, avoiding eyes. 3. Rinse thoroughly.",Follow immediately with an oil-free moisturizer to prevent skin from overproducing oil to compensate for dryness.
5,CET-006,Bright Healthy Radiance Creamy Cleanser,Cetaphil,Cleanser,All Skin Types,"Dullness, Dark Spots","Part of the Bright Healthy Radiance line, this cleanser gently washes away dullness and dead skin cells to reveal a more radiant, luminous complexion. It leaves skin feeling soft and smooth.","Niacinamide, Sea Daffodil Extract",1. Mix with water to create a creamy lather. 2. Massage onto face morning and night. 3. Rinse.,Consistent use is key for brightening products; use morning and night for best results.
6,CET-007,Moisturizing Lotion,Cetaphil,Moisturizer,Normal to Dry,"Dryness, Sensitivity","A lightweight, fast-absorbing lotion that provides long-lasting hydration. It restores the skin's natural moisture barrier in just one week and is clinically proven to bind water to the skin and prevent moisture loss.","Avocado Oil, Vitamin E, Vitamins B3 & B5",1. Pump desired amount into hands. 2. Apply to face and body as often as needed.,Apply immediately after a shower while skin is still slightly damp to lock in maximum moisture.
7,CET-008,Moisturizing Cream,Cetaphil,Moisturizer,Dry to Very Dry,"Roughness, Flaking","A rich, non-greasy cream that provides intense 48-hour hydration. It is specifically formulated to help repair the skin's moisture barrier and protect against the 5 signs of skin sensitivity.","Sweet Almond Oil, Vitamin E, Glycerin",1. Scoop a generous amount. 2. Massage into dry areas of the body or face. 3. Allow to absorb.,"Excellent for rough areas like elbows, knees, and heels."
8,CET-009,Daily Advance Ultra Hydrating Lotion,Cetaphil,Moisturizer,"Dry, Sensitive",Severe Dryness,"Instantly replenishes, hydrates, and protects dry skin for 24 hours. This lotion is clinically proven to moisturize and protect dry skin for a full day with a single application.","Shea Butter, Glycerin",1. Apply daily to dry skin as needed.,Perfect for winter months or arid climates where standard lotions aren't enough.
9,CET-010,Bright Healthy Radiance Night Comfort Cream,Cetaphil,Moisturizer,All Skin Types,"Hyperpigmentation, Dullness","A skin-brightening night cream that works while you sleep to correct dark spots and uneven skin tone. It replenishes moisture so you wake up with fresh, luminous skin.","Niacinamide, Sea Daffodil, Hyaluronic Acid",1. Apply to face and neck as the last step of your evening routine.,"Don't forget to apply sunscreen the next morning, as brightening ingredients make protecting your progress essential."
